chrom	start	end	nSites	recombRate
2L	0	136200	1743	5.049238152108545e-09
2L	136200	272400	1752	5.0041274182144134e-09
2L	272400	408600	1530	4.966470844042755e-09
2L	408600	544800	1242	5.125309537025287e-09
2L	544800	681000	1303	5.073988652862033e-09
2L	681000	817200	1425	5.132380404664507e-09
2L	817200	840000	234	5.122194311915408e-09
2R	0	136200	1743	5.049847891442925e-09
2R	136200	272400	1752	5.005105643390782e-09
2R	272400	408600	1530	4.967751791595488e-09
2R	408600	544800	1242	5.1252753414189024e-09
2R	544800	681000	1303	5.0743842375142295e-09
2R	681000	817200	1425	5.132286621737734e-09
2R	817200	953400	1425	5.122193012804459e-09
2R	953400	1089600	1305	5.1456350726303154e-09
2R	1089600	1225800	1350	5.127771491847542e-09
2R	1225800	1362000	1422	5.124995248803717e-09
2R	1362000	1498200	1381	5.0595802133267016e-09
2R	1498200	1634400	164	5.110366583121396e-09
3L	0	136200	1743	5.049592723505988e-09
3L	136200	272400	1752	5.004650219111525e-09
3L	272400	408600	1530	4.967131162812513e-09
3L	408600	544800	1242	5.125371540047853e-09
3L	544800	681000	1303	5.074247100785704e-09
3L	681000	742000	474	5.132415308876863e-09
3R	0	136200	1743	5.049638192389203e-09
3R	136200	272400	1752	5.004809494408454e-09
3R	272400	408600	1530	4.967385164502121e-09
3R	408600	544800	1242	5.125215464214254e-09
3R	544800	681000	1303	5.074223351749182e-09
3R	681000	817200	1425	5.132240605295359e-09
3R	817200	953400	1425	5.122125738182918e-09
3R	953400	1089600	1305	5.145614115071866e-09
3R	1089600	1225800	1350	5.127715673022551e-09
3R	1225800	1362000	1422	5.124933589347684e-09
3R	1362000	1498200	1381	5.059390629019781e-09
3R	1498200	1634400	1275	5.11027596744859e-09
3R	1634400	1770600	1344	5.1194836149240105e-09
3R	1770600	1906800	1379	5.038385185984446e-09
3R	1906800	1963000	156	5.033905797750032e-09
X	0	136200	1743	5.050455166761084e-09
X	136200	272400	1752	5.005608114812009e-09
X	272400	408600	1530	4.968161493342801e-09
X	408600	544800	1242	5.126080242648121e-09
X	544800	681000	1303	5.075069201814429e-09
X	681000	817200	1425	5.1331097749389625e-09
X	817200	953400	1425	5.1229850302887285e-09
X	953400	1089600	1305	5.146483896693355e-09
X	1089600	1225800	331	5.128582083397445e-09
