chrom	start	end	nSites	recombRate	CI95LO	CI95HI
2L	0	136200	1743	0	0	4.7710313477722035e-11
2L	136200	272400	1752	0	0	4.7710313477722035e-11
2L	272400	408600	1530	0	0	4.7710313477722035e-11
2L	408600	544800	1242	4.9931843677426565e-09	4.957258560968739e-09	5.029110174516574e-09
2L	544800	681000	1303	0	0	4.7710313477722035e-11
2L	681000	817200	1425	5.000255235381876e-09	4.9643294286079585e-09	5.0361810421557935e-09
2L	817200	840000	234	4.990069142632777e-09	4.95414333585886e-09	5.025994949406695e-09
2R	0	136200	1743	0	0	4.7710313477722035e-11
2R	136200	272400	1752	0	0	4.7710313477722035e-11
2R	272400	408600	1530	0	0	4.7710313477722035e-11
2R	408600	544800	1242	4.993150172136272e-09	4.957224365362354e-09	5.029075978910189e-09
2R	544800	681000	1303	0	0	4.7710313477722035e-11
2R	681000	817200	1425	5.000161452455103e-09	4.9642356456811855e-09	5.0360872592290204e-09
2R	817200	953400	1425	4.990067843521828e-09	4.9541420367479105e-09	5.0259936502957455e-09
2R	953400	1089600	1305	5.013509903347685e-09	4.977584096573767e-09	5.049435710121602e-09
2R	1089600	1225800	1350	4.995646322564911e-09	4.959720515790993e-09	5.031572129338828e-09
2R	1225800	1362000	1422	4.992870079521086e-09	4.956944272747169e-09	5.028795886295004e-09
2R	1362000	1498200	1381	0	0	4.7710313477722035e-11
2R	1498200	1634400	164	9.121680016111517e-13	0	4.8622481479333187e-11
3L	0	136200	1743	0	0	4.7710313477722035e-11
3L	136200	272400	1752	0	0	4.7710313477722035e-11
3L	272400	408600	1530	0	0	4.7710313477722035e-11
3L	408600	544800	1242	4.993246370765222e-09	4.957320563991305e-09	5.02917217753914e-09
3L	544800	681000	1303	0	0	4.7710313477722035e-11
3L	681000	742000	474	5.0002901395942325e-09	4.964364332820315e-09	5.03621594636815e-09
3R	0	136200	1743	0	0	4.7710313477722035e-11
3R	136200	272400	1752	0	0	4.7710313477722035e-11
3R	272400	408600	1530	0	0	4.7710313477722035e-11
3R	408600	544800	1242	4.993090294931623e-09	4.957164488157706e-09	5.029016101705541e-09
3R	544800	681000	1303	0	0	4.7710313477722035e-11
3R	681000	817200	1425	5.000115436012728e-09	4.96418962923881e-09	5.036041242786645e-09
3R	817200	953400	1425	4.9900005689002876e-09	4.95407476212637e-09	5.025926375674205e-09
3R	953400	1089600	1305	5.013488945789235e-09	4.9775631390153174e-09	5.049414752563152e-09
3R	1089600	1225800	1350	4.99559050373992e-09	4.9596646969660025e-09	5.0315163105138375e-09
3R	1225800	1362000	1422	4.992808420065053e-09	4.9568826132911356e-09	5.0287342268389705e-09
3R	1362000	1498200	1381	0	0	4.7710313477722035e-11
3R	1498200	1634400	1275	8.215523288050894e-13	0	4.8531865806527124e-11
3R	1634400	1770600	1344	1.0029199804225342e-11	0	5.773951328194738e-11
3R	1770600	1906800	1379	0	0	4.7710313477722035e-11
3R	1906800	1963000	156	0	0	4.7710313477722035e-11
X	0	136200	1743	0	0	4.7710313477722035e-11
X	136200	272400	1752	0	0	4.7710313477722035e-11
X	272400	408600	1530	0	0	4.7710313477722035e-11
X	408600	544800	1242	4.99395507336549e-09	4.958029266591573e-09	5.029880880139408e-09
X	544800	681000	1303	0	0	4.7710313477722035e-11
X	681000	817200	1425	5.000984605656332e-09	4.965058798882414e-09	5.036910412430249e-09
X	817200	953400	1425	4.990859861006098e-09	4.95493405423218e-09	5.026785667780015e-09
X	953400	1089600	1305	5.0143587274107245e-09	4.978432920636807e-09	5.050284534184642e-09
X	1089600	1225800	331	4.9964569141148145e-09	4.960531107340897e-09	5.032382720888732e-09
